,HHBurton,RHJackson,WODouglas,FFrankfurter,SFReed,HLBlack,WBRutledge,FMurphy,FMVinson,,,,
HHBurton,,0.643821022727,0.586174242424,0.574573863636,0.595643939394,0.559777462121,0.535392992424,0.564630681818,0.554332386364,,,,
RHJackson,,,0.61553030303,0.593986742424,0.59150094697,0.559540719697,0.504024621212,0.529474431818,0.548295454545,,,,
WODouglas,,,,0.569602272727,0.583570075758,0.614346590909,0.570075757576,0.545691287879,0.605113636364,,,,
FFrankfurter,,,,,0.616950757576,0.616122159091,0.603574810606,0.539654356061,0.546519886364,,,,
SFReed,,,,,,0.596235795455,0.586529356061,0.599668560606,0.580018939394,,,,
HLBlack,,,,,,,0.596117424242,0.585345643939,0.591027462121,,,,
WBRutledge,,,,,,,,0.579900568182,0.561197916667,,,,
FMurphy,,,,,,,,,0.580255681818,,,,
FMVinson,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,